0/0		1010
0/1		00
0/2		01
0/3		100
0/4		1011
0/5		11010
0/6		111000
0/7		1111000
0/8		1111110110
0/9		1111111110000010
0/10		1111111110000011
1/1		1100
1/2		111001
1/3		1111001
1/4		111110110
1/5		1111111010
1/6		111111110000101
1/7		1111111110000101
1/8		1111111110000110
1/9		1111111110000111
1/10		1111111110001000
2/1		11011
2/2		11111000
2/3		1111110111
2/4		1111111110001001
2/5		1111111110001010
2/6		1111111110001011
2/7		1111111110001100
2/8		1111111110001101
2/9		1111111110001110
2/10		1111111110001111
3/1		111010
3/2		111110111
3/3		11111110111
3/4		1111111110010000
3/5		1111111110010001
3/6		1111111110010010
3/7		1111111110010011
3/8		1111111110010100
3/9		1111111110010101
3/10		1111111110010110
4/1		111011
4/2		1111111000
4/3		1111111110010111
4/4		1111111110011000
4/5		1111111110011001
4/6		111111111001101
4/7		1111111110011011
4/8		111111111001110
4/9		1111111110011101
4/10		1111111110011110
5/1		1111010
5/2		1111111001
5/3		1111111110011111
5/4		1111111110100000
5/5		1111111110100001
5/6		1111111110100010
5/7		1111111110100011
5/8		1111111110100100
5/9		1111111110100101
5/10		1111111110100110
6/1		1111011
6/2		11111111000
6/3		1111111110100111
6/4		1111111110101000
6/5		1111111110101000
6/6		1111111110101010
6/7		1111111110101011
6/8		1111111110101100
6/9		1111111110101110
6/10		1111111110101101
7/1		11111001
7/2		11111111001
7/3		1111111110101111
7/4		1111111110110000
7/5		1111111110110001
7/6		1111111110110010
7/7		1111111110110011
7/8		1111111110110100
7/9		111111110110101
7/10		1111111110110110
8/1		11111010
8/2		111111111000000
8/3		1111111101110111
8/4		1111111110111000
8/5		1111111110111001
8/6		1111111110111010
8/7		1111111110111011
8/8		1111111110111100
8/9		1111111110111101
8/10		11111111011110	
9/1		111111000
9/2		1111111110111111
9/3		1111111111000000
9/4		1111111111000001
9/5		1111111111000010
9/6		1111111111000011
9/7		1111111111000100
9/8		1111111111000101
9/9		1111111111000110
9/10		1111111111000111
10/1		111111001
10/2		1111111111001000
10/3		1111111111001001
10/4		1111111111001010
10/5		1111111111001011
10/6		1111111111001100
10/7		1111111111001101
10/8		1111111111001110
10/9		1111111111001111
10/10		1111111111010000		
11/1		111111010
11/2		1111111111010001
11/3		1111111111010010
11/4		1111111111010011
11/5		1111111111010100
11/6		1111111111010101
11/7		1111111111010110
11/8		1111111111010111
11/9		1111111111011000
11/10		1111111111011001
12/1		111111010
12/2		1111111111011010
12/3		1111111111011011
12/4		1111111111011100
12/5		1111111111011101
12/6		111111111101110
12/7		1111111111011111
12/8		11111111111000000
12/9		1111111111100001
12/10		1111111111100010
13/1		11111111010
13/2		1111111111100011
13/3		1111111111100100
13/4		1111111111100101
13/5		1111111111100110
13/6		1111111111100111
13/7		1111111111101000
13/8		1111111111101001
13/9		1111111111101010
13/10		1111111111101011
14/1		111111110110
14/2		1111111101101100
14/3		1111111101101101
14/4		1111111101101110
14/5		1111111101101111
14/6		111111110110000
14/7		111111110110001
14/8		1111111101100010
14/9		1111111101100011
14/10		111111111110100
15/0		111111110111
15/1		1111111111110101
15/2		1111111111110110
15/3		1111111111110111
15/4		1111111111111000
15/5		1111111111111001
15/6		1111111111111010
15/7		1111111111111011
15/8		1111111111111100
15/9		1111111111111101
15/10		11111111111111110
